userid,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14
92,0,0,2,0,0,0,1,1,0,0,3,1,2,2
93,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94,0,1,1,0,0,0,2,3,0,0,0,0,2,0
95,1,1,3,0,0,3,1,2,1,0,0,2,1,1
96,0,1,1,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,1,0,0,0,1
98,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
99,0,0,3,2,2,3,3,2,0,1,NA,NA,NA,NA
100,2,0,1,1,2,1,2,2,0,2,1,2,0,1
101,0,2,0,1,2,0,0,3,0,1,0,0,0,1
102,2,0,2,0,0,1,1,2,0,2,0,0,0,0
103,0,0,0,0,1,2,0,0,0,0,0,0,1,NA
104,4,3,0,0,2,0,0,1,0,0,NA,NA,NA,NA
105,0,1,2,0,2,1,2,3,1,0,0,0,3,1
106,2,2,1,1,0,4,2,0,3,1,0,4,0,0
107,0,1,2,0,0,0,0,0,0,0,0,0,0,0
108,0,1,0,0,3,0,1,0,0,0,0,0,0,1
109,0,0,0,1,1,0,2,2,0,0,0,NA,NA,NA
110,2,1,1,0,2,3,0,0,1,0,2,0,1,1
111,1,3,1,2,2,0,2,1,1,0,1,2,0,0
112,1,0,0,1,3,0,0,2,0,0,0,0,0,NA
113,3,1,2,0,2,0,1,1,1,0,1,0,2,1
114,0,3,1,0,1,2,0,2,1,0,1,0,1,1
115,0,0,0,1,2,1,0,0,3,2,2,0,0,2
116,0,4,0,1,0,1,0,1,0,1,0,0,0,0
117,0,0,0,0,3,0,1,0,0,1,2,1,1,2
118,0,2,0,1,1,2,3,1,0,0,0,1,0,2
119,2,2,0,2,2,0,1,1,0,1,2,1,1,1
120,0,1,0,0,0,1,0,2,0,0,NA,NA,NA,NA
121,1,2,1,1,0,1,2,0,0,0,1,1,0,1
122,2,1,0,2,1,0,1,2,1,1,2,0,2,NA
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1,0,0,1,1,1,0,1,0,0,0,0,0,0
125,0,2,0,0,0,0,0,0,0,0,0,2,0,3
126,1,2,0,2,3,0,0,0,0,1,0,0,0,0
127,0,0,0,2,0,1,0,0,1,1,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1,0,1,2,2,0,0,0,1,2,0,0,0,0
130,2,0,2,2,1,1,1,2,0,0,NA,NA,NA,NA
131,1,0,1,1,0,3,0,0,0,0,0,0,0,0
132,2,0,1,0,0,1,2,2,1,3,0,1,1,1
133,0,0,1,0,1,1,0,2,5,1,1,2,0,1
134,0,1,0,1,1,1,1,1,0,1,1,0,0,3
135,0,2,0,0,0,0,1,3,0,2,1,0,2,NA
136,1,0,0,0,0,2,0,1,0,0,0,1,1,0
137,0,1,3,0,0,0,1,2,0,0,0,0,0,0
138,3,1,0,1,1,3,1,1,3,0,3,3,0,0
139,0,0,1,1,1,3,2,1,1,2,1,1,0,1
140,1,0,0,1,0,0,0,1,0,1,0,2,0,0
141,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,1,0,3,0,0,2,0,0,NA,NA,NA,NA
144,1,0,2,0,1,1,0,0,0,0,0,1,0,0
145,0,0,0,0,1,2,0,0,0,0,0,0,NA,NA
146,0,0,2,1,1,0,1,3,3,0,0,1,2,0
147,1,0,1,1,1,0,0,0,0,0,0,0,0,0
148,0,0,1,0,0,1,3,0,0,1,NA,NA,NA,NA
149,1,0,2,1,1,0,1,0,0,0,0,2,0,0
150,0,0,0,1,0,2,0,1,2,2,1,2,2,0
151,0,0,0,0,1,0,0,2,0,0,NA,NA,NA,NA
152,0,2,4,1,0,2,1,1,2,0,3,2,1,1
153,1,0,2,0,0,2,1,1,1,1,0,1,1,0
154,2,2,0,2,3,0,1,0,1,0,0,2,2,0
155,2,0,0,0,0,0,0,0,2,0,0,0,1,0
156,1,0,3,1,0,1,0,0,3,0,1,1,0,3
157,2,2,0,1,0,1,1,0,2,1,1,2,1,0
158,0,2,2,1,3,1,1,0,0,4,1,0,1,3
159,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160,0,3,0,0,0,0,0,0,0,0,0,0,NA,NA
161,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA
162,0,1,0,0,0,1,1,1,1,0,0,1,0,0
163,0,0,2,1,2,1,2,0,3,1,NA,NA,NA,NA
164,1,2,1,1,1,0,0,0,0,1,NA,NA,NA,NA
165,0,0,2,1,0,0,1,1,3,0,NA,NA,NA,NA
166,0,0,0,0,0,0,1,0,0,0,0,0,1,0
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,1,0,2,1,2,0,1,1,0,3,NA,NA,NA,NA
169,2,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA
170,0,0,2,0,0,0,0,0,0,0,0,0,0,0
171,1,0,0,0,0,1,0,0,0,0,0,0,0,0
172,3,1,2,0,0,1,1,3,3,1,0,4,1,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,2,2,3,2,0,1,1,4,0,1,NA,NA,NA,NA
175,0,0,0,0,0,1,0,0,0,0,0,0,0,0
176,2,0,0,2,0,2,0,0,3,1,0,0,0,0
177,1,3,0,3,1,0,0,1,0,2,0,3,0,0
178,0,3,1,0,2,0,0,0,1,3,NA,NA,NA,NA
179,1,2,1,1,1,1,2,1,0,0,0,0,0,0
180,1,0,1,0,0,3,1,0,1,0,0,1,0,1
181,0,1,2,2,2,1,0,1,0,0,1,NA,NA,NA
182,2,1,1,2,1,0,2,1,0,2,NA,NA,NA,NA
183,1,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA
184,0,0,0,1,3,2,0,1,0,0,0,0,0,NA
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,2,1,0,0,1,2,1,0,0,0,0,0,0
187,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
188,0,0,0,0,0,0,0,0,0,0,0,2,0,NA
189,1,0,2,0,2,1,0,1,0,5,0,1,0,2
190,1,0,0,0,2,0,1,1,0,1,0,0,2,1
191,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
192,0,3,0,0,2,0,0,0,0,1,3,0,0,1
193,0,0,2,0,0,0,0,1,0,0,0,0,0,0
194,1,0,0,2,1,1,1,1,2,4,NA,NA,NA,NA
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,1,2,0,2,0,0,2,0,0,0,0,0,0,0
197,1,1,0,1,1,1,2,1,1,1,1,0,0,1
198,0,1,1,0,0,1,0,0,1,1,0,1,2,1
199,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
200,3,0,1,0,0,0,0,0,0,0,0,0,0,NA
201,1,0,1,0,2,4,2,2,1,0,NA,NA,NA,NA
202,0,0,0,0,3,0,1,0,0,0,NA,NA,NA,NA
203,0,0,0,0,0,2,2,0,1,1,NA,NA,NA,NA
204,0,1,1,0,1,1,0,0,1,3,0,0,1,1
205,1,0,2,1,1,2,3,1,0,1,NA,NA,NA,NA
206,0,1,1,3,0,3,0,0,0,1,0,0,1,1
207,1,0,0,0,0,2,0,2,0,2,0,1,3,0
208,0,2,0,0,0,0,0,0,0,1,1,1,0,1
209,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
210,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
211,0,2,0,0,1,3,0,0,3,0,2,2,0,1
212,0,0,1,0,1,0,0,2,0,0,NA,NA,NA,NA
213,3,0,0,0,2,0,0,0,1,1,2,0,2,0
214,1,2,2,1,1,0,2,0,0,0,3,0,0,0
215,0,0,0,0,0,0,0,2,0,0,1,0,2,0
216,1,0,1,0,2,1,2,3,2,0,3,0,1,1
217,0,2,0,1,1,2,0,1,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,1,0,0,0,2,NA,NA
220,1,1,0,1,1,0,1,0,1,3,0,1,3,1
221,0,1,0,0,0,0,0,0,0,0,1,0,0,0
222,0,0,0,3,1,0,3,1,1,1,0,0,0,0
223,0,1,0,1,1,0,0,0,1,1,NA,NA,NA,NA
224,0,2,0,1,2,2,1,1,0,0,NA,NA,NA,NA
225,0,2,0,1,1,0,2,0,0,0,2,2,0,0
226,1,0,2,4,0,1,2,0,0,0,2,3,0,1
227,3,2,1,0,1,1,2,0,0,0,1,1,1,1
228,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,0,1,0,0,3,2,1,0,1,1,NA,NA,NA,NA
231,3,0,0,1,0,0,4,0,0,0,0,4,0,1
232,0,0,0,0,2,0,0,2,1,0,0,0,0,0
233,0,2,1,0,2,1,0,0,1,0,0,0,0,1
234,1,0,2,0,0,0,1,1,2,0,0,0,0,NA
235,1,3,0,0,0,1,1,0,0,0,NA,NA,NA,NA
236,4,0,1,1,0,1,1,0,0,1,0,0,NA,NA
237,1,2,1,3,2,1,0,0,1,0,0,0,0,0
238,0,2,1,0,3,1,2,1,3,1,3,0,0,0
239,1,0,0,2,1,0,0,0,0,0,NA,NA,NA,NA
240,0,0,1,1,0,1,0,3,1,0,2,1,2,NA
241,0,0,1,0,1,0,3,1,3,1,NA,NA,NA,NA
242,0,1,1,1,1,0,1,0,0,1,NA,NA,NA,NA
243,1,0,1,2,1,0,0,1,3,0,NA,NA,NA,NA
244,1,0,0,0,0,4,3,1,0,0,1,0,2,1
245,0,1,0,1,2,1,1,0,0,0,NA,NA,NA,NA
246,1,1,0,0,0,1,1,0,0,2,0,1,1,2
247,1,2,1,1,0,1,3,0,0,0,0,3,0,1
248,0,2,0,1,1,1,0,0,1,1,1,3,0,0
249,1,0,0,1,0,0,0,1,3,0,NA,NA,NA,NA
250,0,0,2,1,4,2,3,2,0,1,2,0,0,2
251,0,0,1,1,1,2,1,1,3,0,NA,NA,NA,NA
252,0,1,1,2,2,1,1,3,1,1,0,1,1,NA
253,1,1,1,0,0,2,2,0,1,1,0,0,2,1
254,2,1,2,0,0,0,0,1,0,2,NA,NA,NA,NA
255,1,0,0,0,1,1,0,2,1,0,0,0,0,2
256,2,0,0,1,0,2,4,1,0,1,NA,NA,NA,NA
257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,0,0,2,0,1,2,2,0,0,1,2,0,2,1
259,3,1,2,1,1,0,2,0,1,0,0,2,0,0
260,4,2,4,1,1,2,4,0,0,1,NA,NA,NA,NA
261,1,3,0,0,1,1,1,1,0,0,0,0,1,0
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
264,2,0,1,2,0,0,0,1,0,0,1,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,4,2,0,0,0,1,0,1,0,1,0,2,1,1
267,0,0,0,1,0,3,0,2,1,3,0,1,1,0
268,0,1,1,0,0,2,1,0,1,1,NA,NA,NA,NA
269,1,0,1,1,0,2,0,3,3,0,NA,NA,NA,NA
270,0,1,0,1,2,0,2,0,0,2,NA,NA,NA,NA
271,2,1,2,1,0,0,0,0,0,0,0,0,0,NA
272,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
273,2,0,3,0,0,0,0,0,0,0,NA,NA,NA,NA
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,5,0,0,0,1,1,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,1,1,4,2,0,1,0,2,0,0,2,0,1,1
278,1,0,0,1,2,0,0,1,0,1,0,3,0,NA
279,0,1,1,1,1,0,1,0,0,1,NA,NA,NA,NA
280,0,0,1,1,1,0,0,0,2,4,2,3,0,3
281,0,0,0,1,0,2,0,0,0,0,1,1,0,0
282,1,1,2,0,1,2,0,0,1,1,1,2,0,NA
283,4,2,0,1,2,1,0,0,1,0,0,0,0,1
284,0,0,0,0,0,0,0,0,2,1,3,2,2,0
285,0,4,0,0,0,1,1,0,0,1,0,0,0,3
286,0,0,0,1,0,0,0,1,0,0,0,0,0,3
287,0,0,0,1,0,0,0,1,1,1,0,0,1,1
288,0,0,1,0,3,0,1,0,0,3,1,0,0,0
289,2,3,4,2,2,1,0,0,1,0,4,0,0,1
290,0,3,2,1,1,1,0,3,1,2,1,0,1,3
291,1,0,3,0,0,0,0,0,0,0,0,0,0,1
292,0,0,0,0,0,0,4,1,1,0,5,1,0,1
293,1,0,0,1,1,1,0,0,2,1,1,0,0,1
294,0,2,0,3,0,1,1,2,0,1,0,2,0,3
295,1,0,2,0,0,0,0,0,2,2,NA,NA,NA,NA
296,1,2,1,1,1,3,1,0,1,1,NA,NA,NA,NA
297,1,0,0,0,0,0,0,0,0,0,0,0,1,0
298,2,2,2,1,0,0,2,0,1,2,1,0,1,1
299,1,0,0,3,0,2,2,0,0,0,NA,NA,NA,NA
300,1,0,0,1,0,0,0,2,0,1,3,2,0,2
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0,0,1,2,1,2,0,1,0,1,0,0,0,2
303,2,1,0,0,3,0,0,0,1,0,0,1,0,2
304,0,1,0,1,0,3,1,1,0,0,0,0,0,NA
305,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
306,0,0,0,1,2,1,2,1,1,0,0,1,0,0
307,0,0,0,1,2,0,0,5,2,0,0,0,1,2
308,0,4,0,1,1,0,0,0,1,4,0,1,0,1
309,2,0,1,0,1,1,0,2,1,3,NA,NA,NA,NA
310,0,0,0,3,3,0,1,2,0,0,0,1,0,0
311,1,0,0,0,0,0,0,0,0,0,0,3,0,0
312,2,2,2,1,1,0,0,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,2,0,2,1,1,1,1,1,4,3,0,0,1,0
315,2,1,0,0,2,1,0,2,1,0,2,0,1,3
316,0,1,3,0,0,0,0,1,1,2,0,0,0,1
317,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
318,1,0,0,0,2,1,0,0,1,4,1,1,1,1
319,0,2,0,0,2,0,0,1,0,1,0,0,0,0
320,0,1,0,1,0,0,1,1,5,1,NA,NA,NA,NA
321,0,0,2,0,3,1,2,0,4,0,0,1,1,1
322,1,0,2,0,1,1,2,1,1,0,3,2,1,1
323,0,1,1,0,1,2,0,0,1,1,0,0,0,0
324,2,4,3,0,0,1,2,2,2,4,2,1,1,1
325,0,0,0,1,1,2,2,0,3,2,NA,NA,NA,NA
326,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
327,0,1,0,1,1,1,2,0,1,1,2,0,0,0
328,3,1,1,0,0,1,1,2,0,0,2,1,NA,NA
329,0,4,0,0,0,0,0,0,0,2,0,3,0,0
330,0,0,2,0,0,0,0,0,0,0,0,0,0,0
331,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
332,1,1,1,0,0,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0,0,1,0,0
334,2,1,1,1,1,0,0,3,1,0,NA,NA,NA,NA
335,0,0,1,0,0,1,0,2,0,0,NA,NA,NA,NA
336,0,0,2,0,2,2,0,1,0,0,1,0,1,1
337,0,0,1,1,1,3,3,2,0,0,2,1,0,1
338,0,1,0,0,1,0,0,3,0,0,0,0,NA,NA
339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,0,0,1,2,0,2,1,0,0,1,2,0,2,2
342,1,0,0,2,0,0,0,1,0,1,3,0,0,0
343,2,0,1,0,0,5,0,0,0,1,NA,NA,NA,NA
344,0,1,0,2,2,4,1,1,0,1,NA,NA,NA,NA
345,1,1,0,0,0,0,0,0,0,3,2,2,2,NA
346,1,0,0,2,1,0,2,1,2,0,NA,NA,NA,NA
347,2,0,0,0,0,0,7,0,0,1,NA,NA,NA,NA
348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,1,3,0,0,NA,NA,NA,NA
350,0,0,2,0,1,0,0,0,0,1,2,0,0,NA
351,0,0,0,2,3,0,1,0,1,0,0,0,2,0
352,0,1,0,2,3,0,0,0,2,1,1,1,0,1
353,0,0,2,0,0,0,1,0,0,0,0,0,0,0
354,1,0,0,0,5,1,2,0,0,2,1,0,2,1
355,0,1,2,6,0,0,3,3,0,0,1,2,5,1
356,0,1,0,0,0,1,3,0,1,1,1,0,1,1
357,1,6,1,3,0,2,2,1,0,0,0,0,1,0
358,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
359,0,1,1,2,0,1,0,1,1,1,0,1,0,2
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,2,0,1,2,2,1,0,1,0,2,0,0,1,NA
362,0,0,1,3,0,3,2,0,1,2,1,0,0,0
363,1,1,0,1,2,1,1,0,0,2,0,0,2,0
364,0,2,2,4,0,1,0,0,1,1,NA,NA,NA,NA
365,0,0,0,1,1,0,1,1,2,1,1,3,NA,NA
366,3,2,0,0,1,0,1,0,0,5,NA,NA,NA,NA
367,0,0,0,0,0,0,0,0,0,2,0,0,0,NA
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,1,1,0,0,1,0,1,2,0,3,0,0,0,1
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,0,0,0,1,0,0,0,0,0,0,0,0,2,0
372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,5,0,1,1,0,0,1,0,0,1,0,2,2,0
374,0,1,0,1,1,0,0,1,0,1,1,2,1,2
375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,0,2,0,1,2,0,0,0,0,0,6,0,0,NA
377,0,0,3,1,2,0,1,0,2,1,1,0,5,0
378,1,1,0,0,0,0,1,0,1,1,0,0,0,1
379,0,1,1,0,0,1,0,0,1,0,0,0,0,0
380,0,0,0,0,0,0,1,0,2,0,6,0,0,1
381,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
382,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
383,2,3,1,3,0,2,0,0,1,0,0,0,1,0
384,0,0,1,1,0,0,1,0,0,0,0,0,0,0
385,0,1,1,3,2,0,1,1,0,0,NA,NA,NA,NA
386,0,2,0,2,1,0,0,0,0,0,0,1,1,0
387,1,2,1,2,0,1,2,1,1,0,NA,NA,NA,NA
388,0,3,1,2,1,1,1,0,1,0,0,2,0,2
389,0,2,0,2,1,3,0,1,1,1,0,4,1,2
390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,1,0,0,0,0,0
393,0,2,0,2,2,0,1,1,0,2,1,1,0,0
394,0,1,2,1,2,1,2,0,0,1,NA,NA,NA,NA
395,0,2,0,0,1,2,2,0,3,1,0,1,2,2
396,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
397,0,2,3,1,1,3,1,0,0,2,2,1,1,1
398,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA
399,0,1,1,1,0,0,2,1,1,0,1,0,1,1
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,0,3,0,1,0,0,1,0,1,0,1,3,0,2
402,0,0,0,1,0,0,0,1,0,0,1,1,0,1
403,0,3,0,1,0,0,0,1,0,2,0,0,4,0
404,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
405,2,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA
406,0,0,0,1,1,0,2,0,0,0,3,1,2,1
407,0,0,0,0,1,1,1,1,1,1,3,1,4,NA
408,0,0,1,0,0,0,0,0,0,0,0,0,0,0
409,3,0,1,1,0,0,3,2,1,2,0,0,2,0
410,2,0,0,0,1,0,0,0,0,0,0,0,0,0
411,0,0,1,0,0,0,0,0,0,0,0,0,0,0
412,0,0,1,2,0,1,1,1,1,2,NA,NA,NA,NA
413,1,0,1,0,2,2,0,2,2,0,0,2,2,2
414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,2,0,0,0,0,0,0,0,0,0,0,0,0,1
417,1,0,0,0,1,0,0,1,0,1,0,1,1,0
418,1,0,2,1,2,0,0,0,0,0,0,1,0,NA
419,2,1,0,0,0,2,0,1,0,1,0,1,0,0
420,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA
421,1,0,1,1,0,2,0,0,1,1,1,1,1,1
422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,0,1,1,0,1,0,2,1,3,0,1,3,1,0
424,0,1,2,1,0,0,0,1,0,0,1,1,0,0
425,0,0,1,1,1,1,0,0,0,1,0,0,0,0
426,2,1,2,0,3,0,0,1,0,0,NA,NA,NA,NA
427,2,0,1,1,0,0,1,0,1,3,NA,NA,NA,NA
428,1,0,1,2,0,2,2,2,3,0,1,0,1,0
429,0,3,1,0,0,2,1,1,2,1,0,0,0,0
430,3,1,1,2,0,0,0,0,0,0,0,3,1,NA
431,0,1,0,1,0,3,0,0,1,2,1,1,0,1
432,1,1,3,0,2,0,0,0,1,1,1,1,1,3
433,0,0,1,2,1,0,2,0,0,0,NA,NA,NA,NA
434,1,0,0,0,2,0,0,2,1,3,2,1,1,1
435,0,1,0,0,0,0,0,0,0,0,0,0,0,0
436,0,4,0,2,0,0,0,2,0,0,0,1,1,0
437,1,3,0,0,0,0,1,1,0,1,NA,NA,NA,NA
438,1,0,0,1,1,0,0,0,0,0,0,1,0,0
439,0,0,0,0,0,1,0,0,0,0,0,0,0,0
440,1,0,0,1,0,0,1,0,0,3,2,0,0,0
441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,1,1,0,0,1,1,2,1,1,1,2,1,2,1
443,0,2,1,0,2,1,1,1,1,0,0,0,2,1
444,2,0,0,1,0,0,0,0,1,1,NA,NA,NA,NA
445,0,1,0,2,1,1,0,0,0,3,0,2,0,1
446,1,0,0,2,0,2,0,0,0,0,NA,NA,NA,NA
447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
