userid,age_range,gender,metro_area
103,45 to 54,female,ATL
104,25 to 34,prefer not to answer,HOU
105,18 to 24,male,LA
106,25 to 34,male,DC
107,35 to 44,female,LA
108,45 to 54,male,None of above
109,25 to 34,male,LA
110,35 to 44,male,SF
111,25 to 34,prefer not to answer,DC
112,25 to 34,female,NYC
113,25 to 34,female,SF
114,18 to 24,male,LA
115,35 to 44,female,SF
116,45 to 54,prefer not to answer,ATL
117,25 to 34,female,ATL
118,18 to 24,female,HOU
119,35 to 44,female,LA
120,35 to 44,female,SF
121,18 to 24,female,SEA
122,25 to 34,female,DC
123,45 to 54,male,SF
124,25 to 34,male,DC
125,55+,female,None of above
126,18 to 24,male,SEA
127,25 to 34,female,None of above
128,18 to 24,female,None of above
129,25 to 34,prefer not to answer,ATL
130,25 to 34,male,HOU
131,25 to 34,female,SEA
132,25 to 34,male,LA
133,35 to 44,male,LA
134,35 to 44,prefer not to answer,NYC
135,35 to 44,female,SF
136,35 to 44,female,SF
137,25 to 34,male,None of above
138,55+,male,NYC
139,25 to 34,female,CHI
140,18 to 24,prefer not to answer,PHL
141,35 to 44,female,LA
142,18 to 24,male,None of above
143,25 to 34,non-binary,LA
144,25 to 34,male,PHL
145,25 to 34,female,None of above
146,18 to 24,female,DC
147,45 to 54,female,NYC
148,35 to 44,female,LA
149,35 to 44,male,PHL
150,25 to 34,female,SF
151,55+,male,SF
152,18 to 24,male,None of above
153,35 to 44,male,SF
154,25 to 34,female,SF
155,45 to 54,prefer not to answer,SF
156,35 to 44,female,SF
157,25 to 34,prefer not to answer,None of above
158,35 to 44,female,PHL
159,25 to 34,female,DC
160,18 to 24,male,SF
161,25 to 34,male,SF
162,45 to 54,male,NYC
163,18 to 24,male,LA
164,35 to 44,prefer not to answer,None of above
165,35 to 44,female,HOU
166,35 to 44,prefer not to answer,None of above
167,35 to 44,male,LA
168,55+,male,LA
169,25 to 34,male,SF
170,35 to 44,prefer not to answer,SF
171,25 to 34,female,NYC
172,45 to 54,female,LA
173,25 to 34,prefer not to answer,LA
174,25 to 34,female,DC
175,35 to 44,prefer not to answer,HOU
176,35 to 44,male,DC
177,45 to 54,female,NYC
178,25 to 34,female,None of above
179,45 to 54,female,SF
180,35 to 44,male,SEA
181,25 to 34,female,LA
182,25 to 34,male,HOU
183,25 to 34,prefer not to answer,NYC
184,35 to 44,female,DC
185,25 to 34,female,LA
186,45 to 54,non-binary,LA
187,25 to 34,non-binary,DC
188,18 to 24,male,NYC
189,25 to 34,female,LA
190,25 to 34,prefer not to answer,SF
191,35 to 44,male,None of above
192,35 to 44,female,LA
193,25 to 34,male,SF
194,18 to 24,prefer not to answer,LA
195,45 to 54,male,SF
196,25 to 34,prefer not to answer,None of above
197,35 to 44,female,SF
198,55+,female,SEA
199,55+,male,DC
200,35 to 44,female,SF
201,18 to 24,female,NYC
202,25 to 34,female,None of above
203,25 to 34,female,HOU
204,35 to 44,female,SF
205,25 to 34,female,None of above
206,25 to 34,male,NYC
207,25 to 34,prefer not to answer,NYC
208,35 to 44,female,NYC
209,25 to 34,female,NYC
210,25 to 34,female,SF
211,25 to 34,male,BOS
212,25 to 34,female,LA
213,25 to 34,prefer not to answer,DC
214,18 to 24,male,LA
215,18 to 24,prefer not to answer,SF
216,18 to 24,male,DC
217,35 to 44,female,SEA
218,35 to 44,female,LA
219,18 to 24,male,None of above
220,35 to 44,prefer not to answer,LA
221,35 to 44,prefer not to answer,NYC
222,35 to 44,prefer not to answer,CHI
223,25 to 34,prefer not to answer,LA
224,18 to 24,female,LA
225,18 to 24,female,NYC
226,35 to 44,female,LA
227,18 to 24,female,LA
228,35 to 44,male,DC
229,18 to 24,female,NYC
230,18 to 24,female,ATL
231,25 to 34,male,SEA
232,25 to 34,female,DC
233,35 to 44,prefer not to answer,None of above
234,18 to 24,female,SEA
235,35 to 44,female,SF
236,25 to 34,male,LA
237,18 to 24,female,None of above
238,35 to 44,female,LA
239,25 to 34,female,SF
240,25 to 34,female,SEA
241,35 to 44,male,NYC
242,35 to 44,prefer not to answer,NYC
243,18 to 24,prefer not to answer,NYC
244,45 to 54,male,LA
245,25 to 34,female,SEA
246,35 to 44,female,NYC
247,45 to 54,female,LA
248,35 to 44,female,DC
249,25 to 34,female,SEA
250,35 to 44,female,SF
251,25 to 34,female,SF
252,25 to 34,non-binary,SEA
253,25 to 34,prefer not to answer,None of above
254,55+,female,SF
255,35 to 44,male,None of above
256,35 to 44,male,None of above
257,25 to 34,female,SEA
258,25 to 34,female,LA
259,35 to 44,female,LA
260,25 to 34,female,None of above
261,35 to 44,female,SF
262,25 to 34,female,NYC
263,18 to 24,prefer not to answer,BOS
264,35 to 44,prefer not to answer,LA
265,35 to 44,female,PHL
266,45 to 54,prefer not to answer,None of above
267,18 to 24,male,HOU
268,25 to 34,female,SF
269,18 to 24,female,DC
270,35 to 44,female,SF
271,35 to 44,male,LA
272,25 to 34,male,None of above
273,25 to 34,prefer not to answer,None of above
274,25 to 34,prefer not to answer,SF
275,35 to 44,female,DC
276,35 to 44,male,SEA
277,18 to 24,prefer not to answer,NYC
278,25 to 34,male,LA
279,18 to 24,female,DC
280,35 to 44,male,LA
281,25 to 34,female,SF
282,18 to 24,female,DC
283,35 to 44,female,NYC
284,35 to 44,female,SEA
285,25 to 34,male,DC
286,25 to 34,female,None of above
287,25 to 34,male,SEA
288,35 to 44,prefer not to answer,SF
289,35 to 44,female,SF
290,45 to 54,male,HOU
291,35 to 44,female,LA
292,25 to 34,female,CHI
293,25 to 34,prefer not to answer,None of above
294,35 to 44,non-binary,SEA
295,35 to 44,male,SF
296,55+,female,None of above
297,45 to 54,female,NYC
298,25 to 34,female,SEA
299,35 to 44,female,None of above
300,35 to 44,female,None of above
301,25 to 34,male,SF
302,25 to 34,female,SF
303,35 to 44,female,SF
304,35 to 44,male,SF
305,55+,female,HOU
306,25 to 34,female,HOU
307,45 to 54,male,SEA
308,25 to 34,male,NYC
309,25 to 34,female,SF
310,18 to 24,prefer not to answer,DC
311,18 to 24,male,DC
312,18 to 24,male,SEA
313,35 to 44,prefer not to answer,NYC
314,35 to 44,female,SF
315,45 to 54,female,DC
316,25 to 34,male,HOU
317,25 to 34,female,SF
318,35 to 44,female,DC
319,25 to 34,male,LA
320,35 to 44,female,CHI
321,35 to 44,male,DC
322,25 to 34,male,SF
323,35 to 44,prefer not to answer,SF
324,35 to 44,female,LA
325,25 to 34,female,NYC
326,35 to 44,male,DC
327,25 to 34,female,CHI
328,45 to 54,male,None of above
329,45 to 54,female,DC
330,25 to 34,prefer not to answer,DC
331,18 to 24,female,SEA
332,25 to 34,female,ATL
333,25 to 34,female,None of above
334,35 to 44,male,SF
335,18 to 24,non-binary,DC
336,35 to 44,male,None of above
337,35 to 44,prefer not to answer,LA
338,25 to 34,female,DC
339,35 to 44,female,BOS
340,35 to 44,female,BOS
341,25 to 34,female,LA
342,25 to 34,female,NYC
343,18 to 24,non-binary,SF
344,35 to 44,female,LA
345,35 to 44,male,HOU
346,25 to 34,female,LA
347,35 to 44,prefer not to answer,LA
348,45 to 54,female,SEA
349,45 to 54,prefer not to answer,None of above
350,35 to 44,prefer not to answer,None of above
351,35 to 44,female,LA
352,25 to 34,female,DC
353,18 to 24,female,DC
354,35 to 44,prefer not to answer,NYC
355,25 to 34,male,LA
356,25 to 34,male,SF
357,25 to 34,female,None of above
358,25 to 34,female,NYC
359,35 to 44,female,LA
360,35 to 44,female,None of above
361,25 to 34,female,SF
362,25 to 34,male,SEA
363,25 to 34,prefer not to answer,DC
364,35 to 44,prefer not to answer,None of above
365,18 to 24,prefer not to answer,DC
366,18 to 24,female,None of above
367,45 to 54,female,NYC
368,35 to 44,prefer not to answer,LA
369,25 to 34,male,SF
370,25 to 34,male,None of above
371,45 to 54,male,None of above
372,18 to 24,non-binary,NYC
373,35 to 44,female,NYC
374,18 to 24,prefer not to answer,SF
375,25 to 34,female,SF
376,35 to 44,female,NYC
377,45 to 54,female,None of above
378,35 to 44,female,LA
379,35 to 44,female,DC
380,18 to 24,female,None of above
381,25 to 34,prefer not to answer,HOU
382,25 to 34,female,SF
383,18 to 24,female,SF
384,25 to 34,prefer not to answer,NYC
385,25 to 34,male,SF
386,25 to 34,female,DC
387,25 to 34,female,None of above
388,25 to 34,female,PHL
389,25 to 34,male,SF
390,45 to 54,male,None of above
391,35 to 44,female,SEA
392,35 to 44,prefer not to answer,DC
393,35 to 44,female,None of above
394,18 to 24,male,LA
395,25 to 34,female,DC
396,25 to 34,female,HOU
397,45 to 54,female,DC
398,35 to 44,female,HOU
399,35 to 44,male,SF
400,25 to 34,prefer not to answer,SEA
401,35 to 44,prefer not to answer,HOU
402,35 to 44,female,DC
403,35 to 44,male,SF
404,35 to 44,male,None of above
405,25 to 34,male,None of above
406,25 to 34,female,DC
407,18 to 24,male,None of above
408,35 to 44,female,BOS
409,45 to 54,prefer not to answer,DC
410,25 to 34,female,DC
411,35 to 44,male,CHI
412,35 to 44,male,ATL
413,45 to 54,female,PHL
414,45 to 54,female,SEA
415,35 to 44,female,NYC
416,18 to 24,female,NYC
417,25 to 34,female,SEA
418,25 to 34,prefer not to answer,SF
419,35 to 44,female,NYC
420,35 to 44,male,DC
421,25 to 34,female,LA
422,45 to 54,female,PHL
423,25 to 34,non-binary,SF
424,35 to 44,female,SF
425,25 to 34,female,ATL
426,25 to 34,female,HOU
427,45 to 54,female,SF
428,35 to 44,female,SF
429,25 to 34,female,SF
430,25 to 34,prefer not to answer,LA
431,18 to 24,female,PHL
432,35 to 44,female,SEA
433,25 to 34,non-binary,LA
434,25 to 34,male,DC
435,35 to 44,male,CHI
436,25 to 34,male,LA
437,25 to 34,male,NYC
438,25 to 34,male,SEA
439,25 to 34,male,HOU
440,25 to 34,prefer not to answer,DC
441,35 to 44,female,None of above
442,18 to 24,female,SF
443,45 to 54,male,SF
444,35 to 44,male,None of above
445,35 to 44,female,SF
446,35 to 44,male,SF
447,18 to 24,female,None of above
448,25 to 34,female,NYC
449,25 to 34,female,LA
450,25 to 34,female,DC
451,35 to 44,female,PHL
452,18 to 24,female,SEA
453,25 to 34,male,LA
454,35 to 44,male,SEA
455,25 to 34,male,SF
456,25 to 34,prefer not to answer,SF
457,45 to 54,female,LA
458,35 to 44,male,SEA
459,45 to 54,female,None of above
460,25 to 34,female,HOU
461,25 to 34,female,None of above
462,35 to 44,prefer not to answer,DC
463,25 to 34,female,DC
464,25 to 34,prefer not to answer,SF
465,18 to 24,male,LA
466,45 to 54,male,DC
467,25 to 34,prefer not to answer,NYC
468,25 to 34,male,SF
469,45 to 54,non-binary,CHI
470,35 to 44,prefer not to answer,SF
471,25 to 34,female,None of above
472,18 to 24,female,DC
473,18 to 24,male,SF
474,55+,prefer not to answer,SF
475,55+,female,NYC
476,25 to 34,female,LA
477,25 to 34,male,None of above
478,35 to 44,male,SEA
479,35 to 44,female,LA
480,25 to 34,female,SEA
481,35 to 44,prefer not to answer,HOU
482,25 to 34,prefer not to answer,LA
483,35 to 44,female,PHL
484,35 to 44,female,None of above
485,25 to 34,female,SEA
486,25 to 34,prefer not to answer,DC
487,35 to 44,male,DC
488,35 to 44,female,DC
489,18 to 24,female,LA
490,25 to 34,prefer not to answer,LA
491,25 to 34,female,None of above
492,45 to 54,female,SF
493,35 to 44,female,None of above
494,25 to 34,male,PHL
495,25 to 34,prefer not to answer,None of above
496,25 to 34,male,DC
497,25 to 34,male,SEA
498,25 to 34,male,LA
499,35 to 44,male,SF
500,18 to 24,female,SF
501,18 to 24,female,None of above
502,25 to 34,female,None of above
503,25 to 34,non-binary,None of above
504,35 to 44,male,SF
505,35 to 44,female,SEA
506,25 to 34,female,HOU
507,25 to 34,male,DC
508,25 to 34,female,LA
509,25 to 34,male,DC
510,35 to 44,female,None of above
511,45 to 54,male,None of above
512,25 to 34,female,ATL
513,35 to 44,male,PHL
514,35 to 44,female,CHI
515,25 to 34,female,BOS
516,25 to 34,female,SF
517,25 to 34,prefer not to answer,SF
518,45 to 54,female,LA
519,25 to 34,female,LA
520,18 to 24,female,LA
521,35 to 44,female,None of above
522,35 to 44,non-binary,SEA
523,35 to 44,female,SF
524,35 to 44,female,NYC
525,45 to 54,prefer not to answer,None of above
526,45 to 54,male,LA
527,35 to 44,male,None of above
528,25 to 34,male,SF
529,25 to 34,male,SF
530,25 to 34,male,NYC
531,45 to 54,female,SF
532,18 to 24,male,None of above
533,35 to 44,female,SF
534,35 to 44,female,LA
535,35 to 44,male,SF
536,25 to 34,prefer not to answer,PHL
537,25 to 34,male,None of above
538,35 to 44,female,LA
539,35 to 44,female,NYC
540,35 to 44,female,NYC
541,18 to 24,female,HOU
542,25 to 34,prefer not to answer,SF
543,25 to 34,male,SF
544,35 to 44,male,SF
545,35 to 44,female,DC
546,35 to 44,female,NYC
547,18 to 24,male,SEA
548,25 to 34,female,DC
549,35 to 44,male,CHI
550,35 to 44,female,LA
551,25 to 34,male,HOU
552,25 to 34,female,LA
553,35 to 44,male,LA
554,35 to 44,female,NYC
555,18 to 24,female,NYC
556,35 to 44,female,LA
557,25 to 34,male,LA
558,25 to 34,female,SEA
559,35 to 44,female,LA
560,35 to 44,male,NYC
561,25 to 34,prefer not to answer,SF
562,25 to 34,female,LA
563,35 to 44,prefer not to answer,PHL
564,35 to 44,male,SF
565,25 to 34,female,LA
566,25 to 34,female,PHL
567,25 to 34,female,SEA
568,35 to 44,female,None of above
569,45 to 54,female,PHL
570,25 to 34,non-binary,PHL
571,35 to 44,female,CHI
572,45 to 54,female,None of above
573,18 to 24,female,SEA
574,25 to 34,female,CHI
575,25 to 34,prefer not to answer,SF
576,25 to 34,female,SF
577,45 to 54,prefer not to answer,DC
578,35 to 44,male,LA
579,18 to 24,female,LA
580,18 to 24,prefer not to answer,SF
581,25 to 34,female,None of above
582,45 to 54,prefer not to answer,LA
583,18 to 24,male,LA
584,18 to 24,female,DC
585,35 to 44,female,None of above
586,35 to 44,prefer not to answer,NYC
587,25 to 34,male,PHL
588,45 to 54,female,SF
589,25 to 34,female,NYC
590,25 to 34,female,SF
591,18 to 24,male,SF
592,35 to 44,female,DC
593,18 to 24,male,DC
594,25 to 34,male,NYC
595,25 to 34,male,PHL
596,45 to 54,female,SF
597,25 to 34,male,CHI
598,55+,female,SEA
599,25 to 34,female,SF
600,35 to 44,prefer not to answer,None of above
601,35 to 44,male,DC
602,35 to 44,female,None of above
603,35 to 44,male,NYC
604,18 to 24,female,SF
605,18 to 24,prefer not to answer,None of above
606,18 to 24,female,SF
607,35 to 44,female,DC
608,18 to 24,male,None of above
609,25 to 34,female,LA
610,35 to 44,female,LA
611,25 to 34,female,LA
612,25 to 34,female,None of above
613,18 to 24,prefer not to answer,LA
614,25 to 34,female,SF
615,35 to 44,male,DC
616,18 to 24,male,None of above
617,35 to 44,female,LA
618,18 to 24,prefer not to answer,SEA
619,18 to 24,female,HOU
620,25 to 34,female,DC
621,18 to 24,male,SF
622,25 to 34,male,SF
623,25 to 34,male,None of above
624,25 to 34,female,LA
625,18 to 24,female,CHI
626,35 to 44,female,None of above
627,25 to 34,female,SEA
628,25 to 34,female,SEA
629,35 to 44,female,None of above
630,25 to 34,female,SEA
631,18 to 24,male,SEA
632,25 to 34,female,SF
633,55+,male,DC
634,25 to 34,female,NYC
635,35 to 44,male,LA
636,25 to 34,prefer not to answer,PHL
637,25 to 34,male,SF
638,25 to 34,female,SEA
639,35 to 44,female,LA
640,18 to 24,female,None of above
641,35 to 44,male,None of above
642,18 to 24,prefer not to answer,SF
643,25 to 34,female,LA
644,18 to 24,non-binary,PHL
645,25 to 34,male,SF
646,25 to 34,female,PHL
647,25 to 34,female,LA
648,25 to 34,prefer not to answer,DC
649,25 to 34,female,None of above
650,35 to 44,prefer not to answer,None of above
651,35 to 44,female,HOU
652,25 to 34,female,BOS
653,25 to 34,prefer not to answer,None of above
654,25 to 34,female,PHL
655,25 to 34,female,None of above
656,25 to 34,male,LA
657,35 to 44,male,LA
658,25 to 34,male,LA
659,25 to 34,female,None of above
660,25 to 34,female,DC
661,35 to 44,prefer not to answer,SF
662,45 to 54,male,DC
663,35 to 44,male,LA
664,25 to 34,female,None of above
665,25 to 34,prefer not to answer,SF
666,25 to 34,female,LA
667,35 to 44,female,SEA
668,25 to 34,female,None of above
669,18 to 24,female,SEA
670,25 to 34,male,NYC
671,25 to 34,female,SF
672,18 to 24,male,DC
673,45 to 54,female,LA
674,18 to 24,female,None of above
675,25 to 34,female,None of above
676,35 to 44,female,SF
677,35 to 44,prefer not to answer,SEA
678,55+,male,SF
679,18 to 24,male,BOS
680,25 to 34,non-binary,LA
681,25 to 34,female,LA
682,35 to 44,male,SF
683,25 to 34,male,LA
684,25 to 34,male,NYC
685,25 to 34,female,DC
686,35 to 44,non-binary,CHI
687,25 to 34,female,SEA
688,25 to 34,female,SEA
689,25 to 34,male,LA
690,45 to 54,male,SEA
691,25 to 34,female,LA
692,25 to 34,female,None of above
693,18 to 24,male,LA
694,25 to 34,female,DC
695,25 to 34,female,SEA
696,25 to 34,female,LA
697,18 to 24,male,SEA
698,35 to 44,prefer not to answer,SF
699,35 to 44,female,SF
700,25 to 34,female,HOU
701,25 to 34,female,LA
702,35 to 44,female,None of above
703,45 to 54,non-binary,LA
704,35 to 44,female,DC
705,35 to 44,female,CHI
706,25 to 34,female,SF
707,25 to 34,prefer not to answer,None of above
708,18 to 24,male,SEA
709,25 to 34,female,None of above
710,18 to 24,female,SEA
711,18 to 24,female,LA
712,25 to 34,male,None of above
713,35 to 44,female,SEA
714,18 to 24,prefer not to answer,SF
715,45 to 54,male,NYC
716,25 to 34,prefer not to answer,ATL
717,25 to 34,female,SF
718,25 to 34,prefer not to answer,LA
719,45 to 54,male,None of above
720,35 to 44,female,None of above
721,35 to 44,female,NYC
722,35 to 44,prefer not to answer,None of above
723,35 to 44,female,PHL
724,25 to 34,male,NYC
725,18 to 24,female,LA
726,25 to 34,female,SF
727,25 to 34,male,NYC
728,35 to 44,female,ATL
729,45 to 54,male,SF
730,35 to 44,prefer not to answer,BOS
731,25 to 34,prefer not to answer,SF
732,25 to 34,male,SF
733,25 to 34,prefer not to answer,DC
734,25 to 34,female,LA
735,25 to 34,female,DC
736,25 to 34,female,SF
737,45 to 54,male,DC
738,25 to 34,female,LA
739,25 to 34,male,LA
740,35 to 44,female,DC
741,25 to 34,female,SF
742,25 to 34,female,LA
743,18 to 24,female,HOU
744,35 to 44,female,BOS
745,18 to 24,female,NYC
746,35 to 44,female,None of above
747,35 to 44,male,PHL
748,25 to 34,prefer not to answer,SF
749,25 to 34,prefer not to answer,None of above
750,18 to 24,male,LA
751,35 to 44,female,CHI
752,45 to 54,male,SF
753,25 to 34,female,DC
754,25 to 34,male,SEA
755,35 to 44,male,SEA
756,18 to 24,female,LA
757,18 to 24,female,SEA
758,25 to 34,female,LA
759,35 to 44,male,None of above
760,25 to 34,prefer not to answer,LA
761,18 to 24,female,None of above
762,25 to 34,female,LA
763,35 to 44,prefer not to answer,SF
764,18 to 24,female,SF
765,25 to 34,male,LA
766,25 to 34,non-binary,None of above
767,25 to 34,female,DC
768,35 to 44,male,HOU
769,55+,male,LA
770,35 to 44,female,SEA
771,18 to 24,female,HOU
772,25 to 34,male,LA
773,18 to 24,female,None of above
774,25 to 34,male,CHI
775,18 to 24,female,NYC
776,45 to 54,prefer not to answer,SF
777,35 to 44,female,LA
778,25 to 34,male,None of above
779,25 to 34,non-binary,DC
780,25 to 34,female,None of above
781,25 to 34,female,LA
782,25 to 34,male,LA
783,35 to 44,prefer not to answer,DC
784,25 to 34,male,LA
785,35 to 44,female,SF
786,45 to 54,female,NYC
787,25 to 34,female,None of above
788,35 to 44,female,LA
789,25 to 34,male,None of above
790,35 to 44,female,DC
791,35 to 44,male,CHI
792,18 to 24,male,NYC
793,25 to 34,male,None of above
794,25 to 34,female,SEA
795,35 to 44,prefer not to answer,LA
796,18 to 24,male,NYC
797,25 to 34,female,None of above
798,35 to 44,prefer not to answer,LA
799,55+,male,HOU
800,45 to 54,male,NYC
801,25 to 34,prefer not to answer,LA
802,25 to 34,female,None of above
803,25 to 34,female,LA
804,35 to 44,female,LA
805,25 to 34,female,NYC
806,25 to 34,prefer not to answer,SEA
807,35 to 44,male,LA
808,25 to 34,female,None of above
809,25 to 34,male,LA
810,18 to 24,female,None of above
811,18 to 24,male,BOS
812,35 to 44,female,SEA
813,18 to 24,male,None of above
814,25 to 34,male,SF
815,25 to 34,female,HOU
816,25 to 34,female,None of above
817,35 to 44,female,LA
818,35 to 44,female,PHL
819,25 to 34,female,HOU
820,18 to 24,male,SF
821,25 to 34,female,BOS
822,25 to 34,female,DC
823,25 to 34,female,NYC
824,25 to 34,prefer not to answer,HOU
825,25 to 34,female,SF
826,35 to 44,female,SF
827,45 to 54,male,NYC
828,25 to 34,female,LA
829,18 to 24,female,DC
830,45 to 54,prefer not to answer,SF
831,25 to 34,non-binary,LA
832,45 to 54,female,LA
833,18 to 24,female,LA
834,35 to 44,female,SEA
835,35 to 44,prefer not to answer,SEA
836,35 to 44,female,None of above
837,35 to 44,male,None of above
838,25 to 34,female,LA
839,25 to 34,prefer not to answer,LA
840,25 to 34,female,HOU
841,25 to 34,female,LA
842,45 to 54,prefer not to answer,None of above
843,25 to 34,female,NYC
844,25 to 34,female,None of above
845,45 to 54,female,LA
846,45 to 54,male,BOS
847,25 to 34,male,ATL
848,25 to 34,female,LA
849,25 to 34,male,LA
850,25 to 34,female,LA
851,35 to 44,non-binary,NYC
852,35 to 44,female,DC
853,25 to 34,female,DC
854,18 to 24,female,SF
855,35 to 44,female,DC
856,35 to 44,female,None of above
857,18 to 24,female,NYC
858,35 to 44,male,PHL
859,35 to 44,prefer not to answer,SF
860,35 to 44,male,None of above
861,35 to 44,female,DC
862,25 to 34,male,LA
863,25 to 34,male,SEA
864,35 to 44,male,SF
865,35 to 44,prefer not to answer,SF
866,45 to 54,female,NYC
867,25 to 34,female,SEA
868,35 to 44,prefer not to answer,SF
869,35 to 44,male,None of above
870,25 to 34,female,NYC
871,18 to 24,female,SF
872,18 to 24,prefer not to answer,NYC
873,25 to 34,female,LA
874,25 to 34,female,None of above
875,25 to 34,female,NYC
876,45 to 54,female,LA
877,25 to 34,female,ATL
878,25 to 34,female,SF
879,18 to 24,female,LA
880,25 to 34,female,PHL
881,35 to 44,prefer not to answer,SF
882,25 to 34,female,SEA
883,35 to 44,female,SF
884,25 to 34,female,NYC
885,25 to 34,male,NYC
886,25 to 34,male,NYC
887,25 to 34,female,SF
888,25 to 34,female,NYC
889,55+,female,SF
890,25 to 34,prefer not to answer,SF
891,18 to 24,non-binary,DC
892,18 to 24,male,DC
893,25 to 34,female,None of above
894,35 to 44,male,PHL
895,25 to 34,female,SF
896,35 to 44,female,None of above
897,45 to 54,female,None of above
898,25 to 34,female,PHL
899,45 to 54,female,DC
900,35 to 44,male,LA
901,45 to 54,female,DC
902,25 to 34,prefer not to answer,SEA
903,35 to 44,female,DC
904,45 to 54,female,SEA
905,25 to 34,female,None of above
906,45 to 54,female,DC
907,25 to 34,male,LA
908,45 to 54,prefer not to answer,LA
909,45 to 54,female,LA
910,25 to 34,female,SF
911,35 to 44,female,None of above
912,18 to 24,prefer not to answer,SF
913,25 to 34,male,LA
914,35 to 44,female,SEA
915,45 to 54,male,SF
916,35 to 44,male,SF
917,35 to 44,female,SF
918,55+,female,None of above
919,25 to 34,female,DC
920,25 to 34,female,LA
921,25 to 34,female,LA
922,35 to 44,female,SF
923,18 to 24,prefer not to answer,SEA
924,45 to 54,female,LA
925,35 to 44,female,None of above
926,35 to 44,male,BOS
927,25 to 34,female,DC
928,25 to 34,prefer not to answer,SEA
929,25 to 34,prefer not to answer,LA
930,35 to 44,female,LA
931,35 to 44,non-binary,LA
932,25 to 34,female,NYC
933,35 to 44,prefer not to answer,SEA
934,25 to 34,prefer not to answer,LA
935,35 to 44,female,ATL
936,35 to 44,prefer not to answer,LA
937,35 to 44,female,LA
938,18 to 24,male,SEA
939,25 to 34,female,None of above
940,18 to 24,male,SF
941,25 to 34,female,None of above
942,25 to 34,female,SF
943,25 to 34,male,None of above
944,45 to 54,female,DC
945,35 to 44,female,LA
946,18 to 24,female,LA
947,35 to 44,prefer not to answer,LA
948,35 to 44,female,DC
949,25 to 34,prefer not to answer,None of above
950,25 to 34,male,None of above
951,45 to 54,female,HOU
952,35 to 44,male,ATL
953,25 to 34,male,DC
954,25 to 34,prefer not to answer,SF
955,35 to 44,male,None of above
956,35 to 44,female,LA
957,25 to 34,female,CHI
958,35 to 44,female,ATL
959,35 to 44,female,None of above
960,18 to 24,male,None of above
961,25 to 34,male,HOU
962,45 to 54,female,SF
963,35 to 44,male,None of above
964,18 to 24,male,LA
965,25 to 34,female,LA
966,45 to 54,male,LA
967,35 to 44,female,SF
